category	name	address	google_place_id
attractions	ArtSLAM at Bradenton Riverwalk	(no address in FSQ)	ChIJY3qV_tYXw4gRoy-jOe1OAo4
attractions	Asolo Repertory Theatre	5555 N Tamiami Trl	ChIJlXJqE9k_w4gRySJ2BPEXcR0
attractions	Bay Indies - Bay House Pool	(no address in FSQ)	ChIJQwg-91Jaw4gRU5HdBO-u8CU
attractions	Bayfront Yacht Works and Marina	8865 Midnight Pass Rd	ChIJA4xMia1Dw4gRTrT57btYdzc
attractions	Bee Ridge Park	3100-3148 Wilkinson Rd	ChIJ08zZpRpBw4gRiDJBlBXfAHw
attractions	Big Cat Habitat & Gulf Coast Sanctuary	7101 Palmer Blvd	ChIJNxf8h55Hw4gRSaBE_mEdfxo
attractions	Bird Key Yacht Club	301 Bird Key Dr	ChIJF1OdFCdAw4gR_3TQXBjFjPQ
attractions	Blackburn Point Park	(no address in FSQ)	ChIJD7cZSFBDw4gRsEpfMoip9BE
attractions	Blue Ridge Park	2155 Ridgewood Dr	ChIJPSh7g6-s3IgROUqupmIgQ8M
attractions	Bob Gardner Community Park	2710 White Eagle Blvd	ChIJn79uD1s6w4gR2VbHR5rFDGU
attractions	Bobby Jones Golf Club	1000 Circus Blvd	ChIJR0-AwqdAw4gR6McIzffF4BA
attractions	Bowlero	4208 Cortez Rd W	ChIJObkCSmIWw4gRQDAhWKrjxxU
attractions	Bowlero	7221 S Tamiami Trl	ChIJVaN0nNZDw4gRZr-D4qxm-oo
attractions	Braden River Park	(no address in FSQ)	ChIJhaFa_yE8w4gRO3UanoqVLv8
attractions	Bradenton Beach Marina	(no address in FSQ)	ChIJwxTOi5sRw4gRe2ebpiNZrcs
attractions	Bradenton Yacht Club	4307 13th St W	ChIJEdWsSXEXw4gRpgNdaDgckZs
attractions	Buffalo Creek Park	(no address in FSQ)	ChIJWUyEEXojw4gRsFy9QmBgWq4
attractions	Butler Park	5793-6205 W Price Blvd	ChIJozoB105Tw4gRzglopArkt1w
attractions	Buttonwood Inlet RV Resort	12316 Cortez Road W	ChIJEUVs9HMRw4gRUaGFPlrxryc
attractions	Ca' d’Zan	5401 Bay Shore Rd	ChIJpXGK53VC24gRWMneFVtK6hY
attractions	Camelot East Village	6300 Queensbury Blvd	ChIJHdkh4ZJGw4gRttusUBlyz54
attractions	Camelot Lakes	5700 Camelot Lakes Pkwy	ChIJB8jiRJVGw4gRk_HiIAZQzQU
attractions	Camp Gladiator - Nathan Benderson Park	(no address in FSQ)	ChIJc-m14Rc5w4gRrnsNnZ8pRJY
attractions	Cannons Marina Boats	6040 Gulf of Mexico Dr	ChIJiS5Iw5UTw4gRfEiuwR8G20k
attractions	Canopy Walk	Myakka State Park Rd	ChIJE0_XXFVJw4gRroRqJ-TSTXg
attractions	Casey Key Marina	482 Blackburn Point Rd	ChIJv2U53UNDw4gRqf7-KgHAfyM
attractions	Celery Fields	100 Coburn Rd	ChIJ7-I5X4tHw4gRAK6g4JEha7M
attractions	Centennial Park	211-299 Tampa Ave W	ChIJu73by6Rbw4gR857K3YRfLQo
attractions	Cheetah Lounge	3939 N Washington Blvd	ChIJKSXbG5c_w4gRleoXwkGx-5I
attractions	Colonial Oaks Park	5300 Colonial Oaks Blvd	ChIJQQfiSiVHw4gRJCg2DzEVcho
attractions	Concession Golf Club	7700 Lindrick Ln	ChIJBRD-bPE2w4gRjabAT6CgdWA
attractions	Conservatory Park	8027 Conservatory Drive	ChIJezvwN98-w4gR9LoM9TPNCuQ
attractions	CoolToday Park	18800 S West Villages Pkwy	ChIJw39QsBpXw4gRt1QugbY5miM
attractions	Cortez Village Marina	12160 Cortez Rd	ChIJP-uN1nMRw4gRWqXPAPudIUA
attractions	Cut's Edge Harbor Marina	4000 10th St W	ChIJs1EQjXYXw4gR6e_D1g6-lFU
attractions	DICK'S Sporting Goods	4108 14th St W	ChIJ4VEiphYWw4gR7idoOy6VPfk
attractions	DICK'S Sporting Goods	181 N Cattlemen Rd	ChIJYUTNe7k5w4gRdhcqxrbHBNg
attractions	DICK'S Sporting Goods	18219 Tamiami Trl	ChIJ5yxVbRGr3IgR4tIpRvLYRW0
attractions	Dallas White Park	5834-5934 Greenwood Ave	ChIJD0ckhqNUw4gRAvHrRaqP-po
attractions	De Soto National Memorial	8300 Desoto Memorial Hwy	ChIJVcqB2MUQw4gRbN_T0WF8QEw
attractions	Deer Prairie Creek Preserve	7001 Forbes Trail	ChIJH4KtoA5Uw4gREg3LM44Iaic
attractions	Downtown Venice	(no address in FSQ)	ChIJHYWhzLpbw4gR-dyWVALZtfw
attractions	Fisherman's Wharf Marina	509 N Tamiami Trail	ChIJpZjB26Vbw4gRlSaN_9ahG-U
attractions	Five Below	18299 Tamiami Trl	ChIJhU944YZUw4gRK6AJBNoWLrU
attractions	Florida Railroad Museum	12210 83rd St E	ChIJ______8sw4gRMudh58gsGMU
attractions	Florida Studio Theatre	1241 N Palm Ave	ChIJrYGdKBJAw4gRafewzUWWYnk
attractions	Fort Hamer Park	1605 Fort Hamer Rd	ChIJu9V8cNY6w4gR14jQbFoNfsE
attractions	Freedom Boat Club	1005 Riverside Dr	ChIJvybRBcMXw4gR2SEjCjgz88k
attractions	Freedom Boat Club	990 Laguna Dr	ChIJnXzNg8tbw4gRaclRkVY4X04
attractions	G.T. Bray Park	5502 33rd Avenue Dr W	ChIJhW6JF_MWw4gRUxIRevnpN4k
attractions	Gamble Plantation Historic State Park	3708 Patten Ave	ChIJjZhUvSU9w4gRCuTRgyrctZA
attractions	Greenbrook Adventure Park	13400 Adventure PI.	ChIJ8UkA7pI5w4gRaYMt-S87XLQ
attractions	Gulf Harbor Marina	100 Circuit Rd	ChIJb-6_LXtbw4gR_ltoVVOlhvE
attractions	Gulf Harbor Marina	100 Circuit Rd	ChIJR6V7PkBbw4gREn4OHGp_E8A
attractions	Hidden Harbor Marina	(no address in FSQ)	ChIJzzanZcVDw4gR-toGS9h8PBI
attractions	Hidden Harbor Marina	(no address in FSQ)	ChIJyyLhc3VDw4gRHPQ8upO42n0
attractions	Highland Ridge Park	6225 Kenwood Ave	ChIJJYbrnZZUw4gRFKzCl5_yYpQ
attractions	Historic Spanish Point	337 N Tamiami Trl	ChIJNwQxUnFDw4gRlEruVgcCmu0
attractions	Holiday Cove RV Resort	(no address in FSQ)	ChIJsYFPIHIRw4gRTEv3RrEDyyU
attractions	Hunsader Farms	5500 County Road 675 E	ChIJMWVTQaQxw4gRJDnxrO5ER-A
attractions	Jiggs Landing	6106 63rd St E	ChIJq_OdjK4-w4gRHDtAsN8WP34
attractions	Keyes Marina	5501 Marina Dr	ChIJ1xoFMTYQw4gRmslQtAXM8A4
attractions	Keys Huka Dive	212 Casey Key Rd	ChIJw5GR_mev3IgR71o87IQ58xQ
attractions	Lake Manatee fish camp	(no address in FSQ)	ChIJD9-FOtUzw4gRUHyJorxDf9w
attractions	Linger Lodge RV Park	7205 85th Street Ct E	ChIJ7e4ZhRQ5w4gRPLCgElB9JEM
attractions	Livingston's	5947 Clark Center Ave	ChIJwXQNJk1Bw4gRJRP61Kgtuv8
attractions	Longwood Park	6050 Longwood Run Blvd	ChIJN_N1oy4_w4gRCswGSGFlwVY
attractions	Manatee Encore Rv Resort - Front Pool	(no address in FSQ)	ChIJ6_Fm5Zk8w4gRlnwJu8-grEQ
attractions	Manatee Performing Arts Center	502 3rd Ave W	ChIJB-QyVtEXw4gRk5F8bn3YV28
attractions	Marie Selby Botanical Gardens	811 S Palm Ave	ChIJPTvxtmpAw4gReToYD5mTNwE
attractions	Marina Jack Yacht Basin	2 Marina Plz	ChIJGbcy5aVBw4gRc9sRCtiPh6M
attractions	Marsh Harbor Marina	4103 13th Street Ct W	ChIJr3FL13YXw4gRTqRzCvtDjzA
attractions	Maxine Barritt Park	1800 Harbor Dr S	ChIJg1HuP9xbw4gRs9PHCFmC4VU
attractions	McKibben Park	5500 Trekell St	ChIJ46hkCFKr3IgRYeY52WzyILI
attractions	Moccasin Wallow Golf Club	9680 Buffalo Creek Rd	ChIJgTrJSr0jw4gRhhdNk-hyIQw
attractions	Myakka City	(no address in FSQ)	ChIJGdxqnk40w4gRQXdoAR4ThK8
attractions	Neal Preserve	12301 Manatee Ave W	ChIJ70cZMQIRw4gRKMQdhqFMqV0
attractions	Neville Marine Preserve	(no address in FSQ)	ChIJlxmvm6hDw4gRqN5ExwCJfbU
attractions	Nokomis Beach Drum Circle	100 Casey Key Rd	ChIJVashkXxbw4gR9GKkxkLv_Y0
attractions	Nokomis Beach Drum Circle	100 Casey Key Rd	ChIJPfHzt4Nbw4gReInyfaTUn2Y
attractions	Oaks Park	5430 Mandrake Ter	ChIJmUs9n9Ws3IgRcxkjF9wta-s
attractions	Old Miakka School House	15800 Wilson Rd	ChIJjUHOiWVKw4gR8B6UfaCzujw
attractions	Old Prairie Campground Site #38	(no address in FSQ)	ChIJ-1teTk1Jw4gRA-cLBJK4oug
attractions	Oscar Scherer State Park	Hwy 41	ChIJpSsncQ5Fw4gRPwZCzCeVvgU
attractions	Palma Sola Botanical Park	9800 17 th Avenue NW	ChIJieaBrMgQw4gR5Bwyah-XE_U
attractions	Palma Sola Park	7915 40th Ave W	ChIJvVS5lOgXw4gRRa2OzWpQPV4
attractions	Parrot Cove Marina	11510 36th Ave W	ChIJyQjYthQRw4gROh_14rTOmd8
attractions	Payne Park	2050 Adams Ln	ChIJn61r9WVAw4gRXOJtD8DSQt4
attractions	Perico Preserve	11700 Manatee Ave W	ChIJkasGmR0Rw4gROhuiN0N8Zdo
attractions	Potter Park	8587 Potter Park Dr	ChIJiTMReo1Dw4gRNXP8-5NsE2I
attractions	R & R Yacht Service	764 S Tamiami Trl # 4	ChIJZQ9Y7GdDw4gRREcf4Q2D9eA
attractions	Ray's Canoe Hideaway	1289 Hagle Park Rd	ChIJKxTlAQcww4gRNUXvlac64vc
attractions	Red Bug Slough	5200 Beneva Rd	ChIJ1eqMbxNBw4gRC0e1cpyN2BM
